"幣別","按美元計算/ 貿易總值","按美元計算/ 出口總值","按美元計算/ 進口總值","按美元計算/ 出(入)超"
"99年 1月",41435.083,21895.905,19539.178,2356.727
"99年 2月",32830.28,16805.587,16024.693,780.894
"99年 3月",45966.534,23567.397,22399.137,1168.26
"99年 4月",42076.648,22093.561,19983.087,2110.474
"99年 5月",48407.787,25708.454,22699.333,3009.121
"99年 6月",44562.502,22981.616,21580.886,1400.73
"99年 7月",46312.882,24140.118,22172.764,1967.354
"99年 8月",46438.617,24321.275,22117.341,2203.934
"99年 9月",43556.725,22671.114,20885.612,1785.502
"99年 10月",45989.748,24468.76,21520.988,2947.772
"99年 11月",48877.889,24645.272,24232.617,412.656
"99年 12月",46643.14,24053.012,22590.128,1462.884
"100年",599498.302,312182.4,287315.902,24866.499
"100年 1月",49701.172,25608.802,24092.37,1516.433
"100年 2月",42349.44,21496.231,20853.209,643.022
"100年 3月",53748.788,27550.79,26197.998,1352.793
"100年 4月",52536.532,27610.139,24926.393,2683.746
"100年 5月",55254.872,28178.985,27075.887,1103.098
"100年 6月",49669.29,25453.532,24215.758,1237.774
"100年 7月",53876.898,28476.917,25399.981,3076.935
"100年 8月",49691.643,26149.33,23542.314,2607.016
"100年 9月",48125.848,24982.938,23142.911,1840.027
"100年 10月",51529.273,27437.274,24091.998,3345.276
"100年 11月",46760.877,24943.842,21817.035,3126.808
"100年 12月",46253.668,24293.619,21960.049,2333.571
"101年",581781.105,305314.663,276466.442,28848.221
"101年 1月",42480.402,21372.578,21107.824,264.754
"101年 2月",44808.782,23768.102,21040.68,2727.422
"101年 3月",51442.812,26738.112,24704.7,2033.413
"101年 4月",51188.32,25877.141,25311.179,565.963
"101年 5月",50628.303,26439.607,24188.697,2250.91
"101年 6月",46967.419,24749.637,22217.782,2531.855
"101年 7月",49976.237,25223.406,24752.831,470.575
"101年 8月",46749.419,25045.064,21704.355,3340.709
"101年 9月",50945.087,27511.424,23433.663,4077.762
"101年 10月",50722.725,26883.813,23838.912,3044.901
"101年 11月",47124.292,25234.233,21890.059,3344.175
"101年 12月",48747.308,26471.545,22275.763,4195.783
"102年",588249.923,310865.636,277384.288,33481.348
"102年 1月",51758.449,26025.286,25733.163,292.123
"102年 2月",39170.476,19930.798,19239.677,691.121
"102年 3月",52575.07,27723.477,24851.593,2871.885
"102年 4月",49044.63,25491.564,23553.066,1938.498
"102年 5月",49769.05,27104.463,22664.587,4439.876
"102年 6月",50779.628,26958.428,23821.2,3137.228
"102年 7月",48734.986,25802.958,22932.027,2870.931
"102年 8月",47481.234,25997.276,21483.958,4513.318
"102年 9月",49040.924,25673.985,23366.939,2307.046
"102年 10月",50348.087,27141.511,23206.576,3934.935
"102年 11月",48077.731,26237.906,21839.825,4398.082
"102年 12月",51469.66,26777.982,24691.678,2086.305
"103年",600508.889,319413.274,281095.615,38317.659
"103年 1月",46558.688,24745.871,21812.817,2933.054
"103年 2月",41860.514,21591.877,20268.637,1323.24
"103年 3月",54825.901,28255.041,26570.86,1684.181
"103年 4月",51841.88,27105.699,24736.181,2369.518
"103年 5月",49089.485,27151.226,21938.259,5212.967
"103年 6月",52884.916,27335.947,25548.969,1786.978
"103年 7月",52162.793,27269.258,24893.535,2375.723
"103年 8月",53019.436,28551.577,24467.859,4083.718
"103年 9月",50163.733,26833.365,23330.368,3502.997
"103年 10月",50275.282,27303.836,22971.446,4332.39
"103年 11月",50203.949,27205.131,22998.818,4206.313
"103年 12月",47622.312,26064.446,21557.866,4506.58
"104年",520814.461,284433.978,236380.483,48053.495
"104年 1月",46478.283,25433.463,21044.82,4388.643
"104年 2月",35757.212,20091.715,15665.497,4426.218
"104年 3月",47444.441,25559.211,21885.23,3673.981
"104年 4月",43068.303,23786.264,19282.039,4504.225
"104年 5月",46585.361,25931.328,20654.033,5277.295
"104年 6月",44743.293,23382.857,21360.436,2022.421
"104年 7月",44278.9,23802.534,20476.366,3326.168
"104年 8月",44984.182,24234.477,20749.705,3484.772
"104年 9月",40896.94,22910.032,17986.908,4923.124
"104年 10月",42948.855,24342.208,18606.647,5735.561
"104年 11月",42900.729,22524.854,20375.875,2148.979
"104年 12月",40727.962,22435.035,18292.927,4142.108
"105年",508374.115,279174.656,229199.459,49975.197
"105年 1月",40641.787,22073.597,18568.19,3505.407
"105年 2月",31094.627,17631.047,13463.58,4167.467
"105年 3月",40750.144,22632.039,18118.105,4513.934
"105年 4月",39347.652,22048.734,17298.918,4749.816
"105年 5月",43487.174,23509.809,19977.365,3532.444
"105年 6月",41990.636,22812.394,19178.242,3634.152
"105年 7月",44333.926,24044.579,20289.347,3755.232
"105年 8月",45004.286,24536.823,20467.463,4069.36
"105年 9月",40553.822,22491.209,18062.613,4428.596
"105年 10月",48842.045,26652.649,22189.396,4463.253
"105年 11月",45927.279,25075.619,20851.66,4223.959
"105年 12月",46400.737,25666.157,20734.58,4931.577
"106年",572686.248,315486.658,257199.59,58287.068
"106年 1月",43691.127,23652.348,20038.779,3613.569
"106年 2月",41633.37,22541.448,19091.922,3449.526
"106年 3月",47097.423,25531.474,21565.949,3965.525
"106年 4月",45496.443,24125.456,21370.987,2754.469
"106年 5月",47237.256,25322.281,21914.975,3407.306
"106年 6月",45464.273,25679.975,19784.298,5895.677
"106年 7月",48448.156,26939.171,21508.985,5430.186
"106年 8月",49461.728,27616.651,21845.077,5771.574
"106年 9月",50825.222,28714.836,22110.386,6604.45
"106年 10月",49483.616,27396.197,22087.419,5308.778
"106年 11月",51244.244,28589.474,22654.77,5934.704
"106年 12月",52603.39,29377.347,23226.043,6151.304
"107年",618799.011,334007.338,284791.673,49215.665
"107年 1月",51823.647,27261.431,24562.216,2699.215
"107年 2月",41354.791,22169.528,19185.263,2984.265
"107年 3月",53638.445,29792.853,23845.592,5947.261
"107年 4月",48980.029,26549.309,22430.72,4118.589
"107年 5月",53449.913,28944.221,24505.692,4438.529
