Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,26.574484,30.796600,26.574484,28.809732,8.018488,67576620
2001-02-01,28.809732,30.672428,27.567934,27.692108,7.707423,77177869
2001-03-01,27.319572,27.692108,24.215063,24.463425,6.808798,42340253
2001-04-01,24.463425,24.711788,19.868773,20.117134,5.599114,47576405
2001-05-01,20.117134,21.483107,18.751163,20.241308,5.633675,36550856
2001-06-01,20.241308,21.110571,18.378613,19.123699,5.322616,36975325
2001-07-01,18.875338,19.123699,12.666351,14.529047,4.043807,3845532582
2001-08-01,14.653220,22.352367,14.032322,21.358932,5.944739,15076060721
2001-09-01,21.234758,21.234758,12.919678,12.919678,3.595878,77288208
2001-10-01,12.919678,14.599224,10.981721,12.790481,3.681358,7638138738
2001-11-01,13.307269,16.860167,13.178072,15.761998,4.536620,24199514748
2001-12-01,16.149590,19.185715,15.180619,16.278788,4.685363,175684629
2002-01-01,16.278788,18.475138,16.020391,17.893744,5.150179,162565476
2002-02-01,19.896290,22.997021,19.250303,22.867823,6.581819,174741360
2002-03-01,22.738626,24.418173,20.800669,21.317457,6.135594,132751323
2002-04-01,20.929867,24.030581,18.216743,21.317457,6.135594,146673885
2002-05-01,21.317457,24.934961,20.413078,22.997021,6.619005,246322537
2002-06-01,22.738626,23.901400,20.929867,21.059065,6.061223,79697308
2002-07-01,21.059065,22.067429,17.958349,21.930374,6.312004,66921815
2002-08-01,21.656231,21.656231,17.818422,18.709337,5.517516,42906340
2002-09-01,18.435211,18.503748,13.706487,14.323277,4.224036,7589554935
2002-10-01,13.843543,19.600271,12.884091,19.600271,5.780259,3548432269
2002-11-01,19.600271,21.793303,18.503748,20.148525,5.941943,168084005
2002-12-01,20.148525,31.113712,19.600271,29.605989,8.731016,334939152
2003-01-01,29.605989,39.337597,29.331863,34.403267,10.145767,385979185
2003-02-01,34.403267,36.459244,28.783609,32.347290,9.539446,400987175
2003-03-01,32.758488,37.144566,27.412958,33.443813,9.862818,412256021
2003-04-01,32.484364,38.104019,28.098284,29.194807,8.609756,328078696
2003-05-01,29.194807,36.459244,27.275887,35.773918,10.549981,240157214
2003-06-01,36.185101,38.241074,33.443813,33.717941,9.943661,161679008
2003-07-01,33.992069,36.322170,30.702513,33.032616,9.741551,280665735
2003-08-01,32.621418,35.507950,31.250767,33.511513,9.882783,144893890
2003-09-01,33.511513,39.643414,32.085503,38.217388,11.392419,285613562
2003-10-01,37.789589,44.064091,36.933975,42.495464,12.667693,266851467
2003-11-01,42.780663,46.060513,39.072998,39.358215,11.732494,123807987
2003-12-01,39.072998,43.636276,37.789589,42.210251,12.582671,167680041
2004-01-01,42.210251,49.910778,41.639854,49.340363,14.708124,172197055
2004-02-01,49.340363,53.048027,47.343941,51.907200,15.473285,173189749
2004-03-01,52.192413,58.039101,43.208477,47.486542,14.155507,305542418
2004-04-01,47.343941,48.912567,36.220963,36.363564,10.839802,197441792
2004-05-01,36.363564,41.497238,30.944674,37.504391,11.179876,343188600
2004-06-01,37.789589,40.784225,35.080135,40.499023,12.072564,175481455
2004-07-01,40.499023,42.352848,33.511513,35.650551,10.627256,171769994
2004-08-01,35.650551,45.632717,35.080135,44.064091,13.135291,158378050
2004-09-01,44.206692,51.847321,44.206692,50.335732,15.004837,485680668
2004-10-01,50.335732,55.172806,42.928967,43.533604,13.243613,533643261
2004-11-01,45.649815,48.370678,44.289398,45.952141,13.979372,347862759
2004-12-01,45.649815,50.184578,45.498657,48.521835,14.761109,283893651
2005-01-01,49.277630,49.731094,41.568550,45.952141,13.979372,190955698
2005-02-01,46.103298,49.579937,44.591709,48.521835,14.761109,163217169
2005-03-01,49.277630,51.242680,45.649815,46.707935,14.209293,254980805
2005-04-01,46.707935,48.975300,44.213821,45.196346,13.749445,173031414
2005-05-01,45.196346,48.219505,42.022018,42.551079,12.944713,236330635
2005-06-01,42.551079,44.969616,42.097595,42.626656,12.967703,181598374
2005-07-01,42.475502,42.928967,39.452328,39.754654,12.093994,144856874
2005-08-01,39.603481,43.622032,39.225594,41.061413,12.491532,164114595
2005-09-01,41.061413,43.164768,36.031605,41.978661,13.987853,103024876
2005-10-01,42.370071,42.565773,37.477451,40.510876,13.498769,91074956
2005-11-01,41.097988,42.272217,38.945236,41.685104,13.890036,119066106
2005-12-01,41.685104,47.360538,41.587250,46.577721,15.520320,230941419
2006-01-01,44.229263,45.892754,37.586285,37.586285,12.524255,129176235
2006-02-01,37.586285,44.522823,37.586285,38.592243,12.859453,95097855
2006-03-01,41.097988,41.587250,38.651680,39.728058,13.237922,93276230
2006-04-01,39.728058,44.914230,37.860622,43.544296,14.509542,119869868
2006-05-01,43.544296,48.926178,40.238338,40.238358,13.407959,8139961665
2006-06-01,42.859333,45.012081,41.097988,44.229263,14.737782,103703673
2006-07-01,44.620674,45.501347,39.506752,43.446445,14.476940,2958382161
2006-08-01,43.446445,43.740002,37.692726,38.216236,12.734163,101426217
2006-09-01,37.902130,39.472660,35.598686,39.472660,14.402318,72864868
2006-10-01,39.367958,42.299618,39.053852,39.996174,14.593331,53643178
2006-11-01,39.682068,40.938492,37.273918,39.996174,14.593331,95119929
2006-12-01,40.833790,41.880810,38.530342,39.472660,14.402318,1833128286
2007-01-01,39.472660,40.519684,38.111534,38.320938,13.982092,67131453
2007-02-01,38.739746,46.068890,38.530342,45.021870,16.427050,149642282
2007-03-01,43.974850,45.440678,40.310280,44.184254,16.121428,88829220
2007-04-01,43.556042,46.697102,42.299618,42.823128,15.624796,59941527
2007-05-01,42.823128,45.754784,41.252598,43.241936,15.777608,64136288
2007-06-01,43.346638,46.068890,42.404320,45.545380,16.618063,74019575
2007-07-01,45.021870,51.618095,43.556042,46.801804,17.076492,215371666
2007-08-01,47.220612,50.361671,39.786770,44.812466,16.585299,152061047
2007-09-01,44.812466,59.784855,43.451340,59.156639,21.894142,249931173
2007-10-01,58.423725,72.872604,58.423725,66.381081,24.567940,452915790
2007-11-01,67.846909,67.951614,50.466373,58.004917,21.467882,315073658
2007-12-01,58.633129,62.611809,49.209949,61.983597,22.940413,146025346
2008-01-01,61.983597,69.103333,46.906506,49.838161,18.445330,398767364
2008-02-01,51.303989,55.701473,50.047565,54.445049,20.150360,157972110
2008-03-01,53.607433,65.752869,52.979221,62.821213,23.250418,305457799
2008-04-01,62.402405,67.846909,59.156639,60.831875,22.514153,272161402
2008-05-01,60.831875,64.287041,54.445049,56.015579,20.731619,155676063
2008-06-01,56.329685,58.633129,48.686440,50.466373,18.677839,100469873
2008-07-01,50.047565,50.466373,40.310280,41.880810,15.500278,131066707
2008-08-01,41.043194,43.765446,36.959812,37.692726,15.106584,85917625
2008-09-01,37.692726,37.692726,29.211863,29.944778,12.001344,100239220
2008-10-01,29.944778,35.493984,27.746035,35.493984,14.225367,77690943
2008-11-01,36.645706,38.739746,32.038818,34.132858,13.679853,4567312489
2008-12-01,34.132858,36.226898,30.363586,32.352924,12.966485,13818651565
2009-01-01,32.352924,33.085838,27.746035,28.060141,11.246013,1738146954
2009-02-01,28.060141,29.211863,27.222525,27.850737,11.162087,61543691
2009-03-01,27.850737,33.190540,25.651995,29.840076,11.959380,131430594
2009-04-01,30.782394,40.624386,30.468288,34.551666,13.847704,237179268
2009-05-01,34.551666,40.624386,34.237560,39.786770,15.945841,174409708
2009-06-01,39.996174,43.451340,32.352924,34.237560,13.721814,122915477
2009-07-01,34.237560,42.823128,33.923454,41.880810,16.785093,103450713
2009-08-01,41.776108,45.231274,40.519684,41.671406,16.701168,91624296
