"年度","月份","出口總值","出口","復出口","進口總值","進口","復進口","出入超","備註"
"106","10","827972042","767411357","60560685","667572005","665525546","2046459","160400037",
"106","9","864963592","797462612","67500980","666056191","663840151","2216040","198907401",
"106","8","836016161","772372549","63643612","661345616","659605629","1739987","174670545",
"106","7","819557937","750945128","68612809","654389915","652340753","2049162","165168022",
"106","6","773795931","717988904","55807027","596190010","594302034","1887976","177605921",
"106","5","763785789","708730619","55055170","661044062","659418539","1625523","102741727",
"106","4","733958315","676758083","57200232","650194618","648448599","1746019","83763697",
"106","3","787447455","728988156","58459299","665184043","663088038","2096005","122263412",
"106","2","699726973","648412021","51314952","592681644","590911913","1769731","107045329",
"106","1","754313775","695761623","58552152","639104454","636949108","2155346","115209321",
"105","12","819813293","742566497","77246796","662326059","660083803","2242256","157487234",
"105","11","793193328","729362708","63830620","659619824","657459508","2160316","133573504",
"105","10","838280436","773740491","64539945","697939021","695716470","2222551","140341415",
"105","9","710998853","657614880","53383973","571029153","569400390","1628763","139969700",
"105","8","777131924","712297026","64834898","648283325","646124824","2158501","128848599",
"105","7","774534154","714394378","60139776","653613168","651425415","2187753","120920986",
"105","6","741916638","685060325","56856313","623756554","621946705","1809849","118160084",
"105","5","762723310","705963838","56759472","648159265","646035933","2123332","114564045",
"105","4","714433450","659558367","54875083","560561616","558872159","1689457","153871834",
"105","3","746461945","685304116","61157829","597623044","595610657","2012387","148838901",
"105","2","586795523","542881024","43914499","448137632","446676217","1461415","138657891",
"105","1","730897768","669347211","61550557","614870308","612753522","2116786","116027460",
"104","12","719875797","678047449","41828348","584149772","581917369","2232403","135726025",
"104","11","718244871","673632229","44612642","629348038","627025554","2322484","88896833",
"104","10","781360449","734489037","46871412","581573934","579354832","2219102","199786515",
"104","9","733980936","690628025","43352911","563116014","560798219","2317795","170864922",
"104","8","757466235","713029737","44436498","630637116","628400963","2236153","126829119",
"104","7","727629308","689955630","37673678","614744065","612658464","2085601","112885243",
"104","6","709392704","671007693","38385011","641933199","639884229","2048970","67459505",
"104","5","785689643","741810486","43879157","618962878","616957305","2005573","166726765",
"104","4","733823885","693814411","40009474","584948700","582958419","1990281","148875185",
"104","3","796130217","752225922","43904295","667472952","665205433","2267519","128657265",
"104","2","623190102","587033513","36156589","479754050","478103383","1650667","143436052",
"104","1","797722051","749488255","48233796","644535729","642470307","2065422","153186322",
"103","12","796681836","749222124","47459712","659470362","657432052","2038310","137211474",
"103","11","813011344","763479163","49532181","685338515","682927867","2410648","127672829",
"103","10","816134558","773689144","42445414","675936040","673794208","2141832","140198518",
"103","9","791892724","744948534","46944190","685881093","683881521","1999572","106011631",
"103","8","841329448","791516001","49813447","718370281","716203960","2166321","122959167",
"103","7","800848604","757939470","42909134","722548811","720736112","1812699","78299793",
"103","6","805178352","758761054","46417298","748235527","746298562","1936965","56942825",
"103","5","804432824","763673343","40759481","644992971","643250174","1742797","159439853",
"103","4","806341732","764163214","42178518","729131313","726847032","2284281","77210419",
"103","3","841007262","788531252","52476010","781673817","779474688","2199129","59333445",
"103","2","644316166","609017265","35298901","596790042","595228411","1561631","47526124",
"103","1","728696166","690633258","38062908","640038970","637841044","2197926","88657196",
