Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,4717.490234,5992.430176,4678.000000,5936.200195,5936.178223,0
2001-02-01,5927.250000,6198.220215,5653.859863,5674.689941,5674.668945,0
2001-03-01,5581.950195,5981.310059,5471.620117,5797.919922,5797.898926,0
2001-04-01,5797.850098,5797.850098,5345.600098,5381.669922,5381.649902,0
2001-05-01,5469.950195,5502.529785,4902.220215,5048.859863,5048.840820,0
2001-06-01,5090.660156,5318.709961,4741.540039,4883.430176,4883.411621,0
2001-07-01,4886.490234,4906.819824,4008.080078,4352.979980,4352.963867,0
2001-08-01,4402.709961,4715.200195,4303.339844,4509.439941,4509.423340,0
2001-09-01,4520.000000,4526.270020,3411.679932,3636.939941,3636.926025,0
2001-10-01,3623.669922,4104.209961,3436.250000,3903.489990,3903.475586,0
2001-11-01,3939.080078,4722.180176,3910.840088,4441.120117,4441.103516,0
2001-12-01,4534.370117,5651.979980,4532.189941,5551.240234,5551.219727,0
2002-01-01,5575.339844,6049.120117,5375.399902,5872.140137,5872.118164,0
2002-02-01,5948.100098,6048.649902,5492.939941,5696.109863,5696.088867,0
2002-03-01,5672.029785,6326.430176,5645.799805,6167.470215,6167.446777,0
2002-04-01,6118.450195,6484.930176,6009.450195,6065.729980,6065.707520,0
2002-05-01,6099.270020,6106.770020,5421.799805,5675.649902,5675.628906,0
2002-06-01,5628.270020,5656.910156,5048.310059,5153.709961,5153.690430,0
2002-07-01,5124.500000,5460.089844,4796.450195,4940.379883,4940.361328,0
2002-08-01,4923.290039,5030.240234,4506.600098,4764.939941,4764.922363,0
2002-09-01,4756.009766,4756.009766,4082.939941,4191.810059,4191.793945,0
2002-10-01,4146.669922,4682.939941,3845.760010,4579.140137,4579.123047,0
2002-11-01,4596.689941,4862.660156,4486.339844,4646.689941,4646.672852,0
2002-12-01,4655.419922,4867.229980,4413.140137,4452.450195,4452.433594,0
2003-01-01,4460.569824,5141.799805,4431.189941,5015.160156,5015.141113,112159600
2003-02-01,4975.649902,4975.649902,4385.609863,4432.459961,4432.443848,53503800
2003-03-01,4483.439941,4619.979980,4240.600098,4321.220215,4321.204102,49150400
2003-04-01,4275.390137,4677.419922,4044.729980,4148.069824,4148.053711,59878200
2003-05-01,4130.600098,4639.009766,4108.669922,4555.899902,4555.882813,50775600
2003-06-01,4620.540039,5089.080078,4612.100098,4872.149902,4872.131348,95081000
2003-07-01,4893.580078,5504.379883,4893.580078,5318.339844,5318.320313,130834800
2003-08-01,5365.729980,5692.930176,5174.770020,5650.830078,5650.809082,88579600
2003-09-01,5690.839844,5809.430176,5591.330078,5611.410156,5611.389160,73056800
2003-10-01,5599.100098,6173.850098,5560.549805,6045.120117,6045.097656,105525200
2003-11-01,6054.310059,6182.200195,5740.569824,5771.770020,5771.749023,77320800
2003-12-01,5768.689941,5945.529785,5718.439941,5890.689941,5890.667969,66614800
2004-01-01,5907.149902,6421.450195,5907.149902,6375.379883,6375.355469,83746600
2004-02-01,6379.979980,6756.759766,6210.350098,6750.540039,6750.514160,153149800
2004-03-01,6816.790039,7135.000000,6020.640137,6522.189941,6522.165039,166128200
2004-04-01,6504.540039,6916.310059,6023.580078,6117.810059,6117.787598,130071200
2004-05-01,6102.600098,6191.839844,5450.720215,5977.839844,5977.817871,84181000
2004-06-01,5991.490234,6010.500000,5514.169922,5839.439941,5839.417969,67636000
2004-07-01,5849.740234,5870.589844,5280.419922,5420.569824,5420.549316,55973600
2004-08-01,5404.189941,5864.569824,5255.060059,5765.540039,5765.519043,57219600
2004-09-01,5799.819824,5970.290039,5712.950195,5845.689941,5845.667969,80302200
2004-10-01,5869.419922,6135.549805,5597.799805,5705.930176,5705.909180,76337800
2004-11-01,5725.649902,6088.120117,5628.250000,5844.759766,5844.737793,68043000
2004-12-01,5778.060059,6160.959961,5745.049805,6139.689941,6139.667480,70088800
2005-01-01,6166.390137,6183.149902,5734.870117,5994.229980,5994.207520,60913600
2005-02-01,6015.779785,6233.529785,5979.919922,6207.830078,6207.806641,48216600
2005-03-01,6227.419922,6267.520020,5940.180176,6005.879883,6005.857422,72597600
2005-04-01,6010.709961,6048.370117,5565.410156,5818.069824,5818.048340,51330400
2005-05-01,5845.140137,6026.529785,5793.250000,6011.560059,6011.537598,54408200
2005-06-01,6002.549805,6401.810059,5962.879883,6241.939941,6241.916504,82907600
2005-07-01,6240.080078,6480.970215,6180.580078,6311.979980,6311.956055,76240400
2005-08-01,6320.669922,6481.620117,5976.399902,6033.470215,6033.447754,66736800
2005-09-01,6081.709961,6186.120117,5894.990234,6118.609863,6118.587402,55299200
2005-10-01,6128.970215,6171.870117,5618.899902,5764.299805,5764.278809,58611800
2005-11-01,5803.250000,6212.350098,5786.640137,6203.470215,6203.446777,68303000
2005-12-01,6196.359863,6600.169922,6162.859863,6548.339844,6548.314941,89135000
2006-01-01,6457.609863,6797.200195,6373.629883,6532.180176,6532.155273,78559000
2006-02-01,6592.189941,6747.430176,6466.209961,6561.629883,6561.604980,54602800
2006-03-01,6518.000000,6685.450195,6344.729980,6613.970215,6613.945313,60249600
2006-04-01,6627.319824,7229.350098,6615.979980,7171.770020,7171.742676,79525600
2006-05-01,7174.930176,7476.069824,6791.109863,6846.950195,6846.924316,96943200
2006-06-01,6874.660156,6967.379883,6268.919922,6704.410156,6704.384277,68433000
2006-07-01,6727.229980,6789.549805,6232.490234,6454.580078,6454.555664,56267200
2006-08-01,6464.589844,6761.790039,6405.089844,6611.770020,6611.745117,63904600
2006-09-01,6631.830078,6961.919922,6550.029785,6883.049805,6883.023926,58566000
2006-10-01,6907.430176,7159.850098,6874.979980,7021.319824,7021.293945,65603400
2006-11-01,7036.069824,7567.720215,7005.129883,7567.720215,7567.691406,99295400
2006-12-01,7587.509766,7823.720215,7369.089844,7823.720215,7823.690918,100106200
2007-01-01,7871.410156,7999.419922,7599.549805,7699.640137,7699.611328,96653400
2007-02-01,7751.299805,7950.200195,7679.779785,7901.959961,7901.929688,38309000
2007-03-01,7707.629883,7928.029785,7306.069824,7884.410156,7884.379883,83342200
2007-04-01,7888.169922,8108.500000,7843.049805,7875.419922,7875.390137,80897000
2007-05-01,7900.759766,8256.250000,7861.430176,8144.950195,8144.919434,72801400
2007-06-01,8236.759766,8985.929688,8224.280273,8883.209961,8883.176758,95335800
2007-07-01,8903.769531,9807.910156,8849.349609,9287.250000,9287.215820,175237000
2007-08-01,9188.599609,9265.700195,7987.609863,8982.160156,8982.126953,117799200
2007-09-01,9018.889648,9474.049805,8841.639648,9411.950195,9411.916016,78094400
2007-10-01,9523.980469,9859.650391,9275.719727,9711.370117,9711.333008,115958000
2007-11-01,9780.589844,9785.750000,8207.969727,8586.400391,8586.368164,101083200
2007-12-01,8623.120117,8804.929688,7664.620117,8506.280273,8506.248047,81858000
2008-01-01,8491.570313,8546.200195,7384.609863,7521.129883,7521.101563,110618000
2008-02-01,7613.580078,8473.709961,7530.370117,8412.759766,8412.727539,66958400
2008-03-01,8213.700195,9049.230469,7900.799805,8572.589844,8572.557617,119302600
2008-04-01,8593.200195,9194.860352,8419.719727,8919.919922,8919.886719,119824400
2008-05-01,8998.059570,9309.950195,8548.320313,8619.080078,8619.047852,110158600
2008-06-01,8638.480469,8809.330078,7466.200195,7523.540039,7523.511719,82064800
2008-07-01,7528.540039,7569.180176,6708.459961,7024.060059,7024.034180,92596000
2008-08-01,6920.750000,7376.689941,6809.959961,7046.109863,7046.083984,78415200
2008-09-01,6967.220215,6967.220215,5530.189941,5719.279785,5719.258789,80402400
2008-10-01,5854.000000,5854.000000,4110.089844,4870.660156,4870.641602,66392400
2008-11-01,4925.740234,5095.979980,3955.429932,4460.490234,4460.473633,68436000
2008-12-01,4436.120117,4750.959961,4190.020020,4591.220215,4591.203125,87324000
2009-01-01,4725.259766,4817.439941,4164.189941,4247.970215,4247.954102,41117400
2009-02-01,4277.100098,4607.970215,4240.080078,4557.149902,4557.132813,64448000
2009-03-01,4528.270020,5468.490234,4328.049805,5210.839844,5210.820313,116669000
2009-04-01,5271.830078,6071.060059,5271.830078,5992.569824,5992.547363,149469000
2009-05-01,6285.600098,6930.589844,6256.290039,6890.439941,6890.414063,140233400
2009-06-01,7033.330078,7084.830078,6100.080078,6432.160156,6432.135742,104431200
2009-07-01,6445.850098,7185.520020,6433.689941,7077.709961,7077.683594,110756000
2009-08-01,7036.470215,7138.939941,6629.100098,6825.950195,6825.924316,78386200
2009-09-01,6834.629883,7558.879883,6807.620117,7509.169922,7509.142090,92419400
2009-10-01,7581.379883,7811.919922,7233.629883,7340.080078,7340.052246,99066000
2009-11-01,7238.299805,7875.479980,7218.890137,7582.209961,7582.181152,81100600
2009-12-01,7615.950195,8188.799805,7549.009766,8188.109863,8188.079102,102750800
